Order,Title,Distance(Meters),Time(Secs),Speed(km/hr),Trail Start,Trail End
1,1a Camden History,63.88251724809497,71,0.8997537640576756,1A,1Q
2,1b.1 Camden History,36.73573174363472,42,0.8746602796103505,1B,1A
3,1c.1 Camden History,39.267145405175526,51,0.7699440275524613,1C,1B
4,1d Camden History,542.349613378346,466,1.1638403720565365,1D,1C
5,2 Camden History,38.029814379538465,44,0.8643139631713287,1E,1D
6,3A Camden History,165.5022903145296,147,1.125865920507004,1F,1E
7,3b.1 Camden History,49.15912896989073,78,0.6302452432037273,1G,1F
8,3b.1 Camden History,49.15912896989073,78,0.6302452432037273,1G,1F
9,3c Camden History,500.57577203655427,421,1.189016085597516,1H,1F
10,4 Camden History,1422.876257396602,1154,1.2329950237405565,1I,1H
11,5 CH/DV,23.750314341786634,28,0.8482255122066655,1J,1I
12,6 Camden History,369.5004318672872,311,1.18810428253147,1K,1J
13,7a CH/DV,17.285443616254852,26,0.6648247544713405,1L,1K
14,7b.1 CH/DV Rest Side,14.643084654409988,25,0.5857233861763995,1M,1L
15,7b.1 CH/DV Rest Side,14.643084654409988,25,0.5857233861763995,1M,1L
16,7c CH/DV Connect,26.81330615875629,27,0.9930854132872701,1N,1L
17,8a CSP Beach,76.08671862226036,73,1.0422838167432926,2A,1N
18,8b CSP,53.300803971225776,56,0.9518000709147459,2C,2A
19,8c CSP Bridge,33.811945278317374,38,0.8897880336399309,2D,2C
20,9 CSP,180.9636867595314,154,1.1750888750618922,2E,2D
21,11 CSP,193.2532488228246,162,1.1929212890297813,2E,1D
